"","release_type","run","sex","release_location_rmis_basin","age","brood_year","fishery","gear","release_age","length","y_n","release_length"
"279","one_YO_fall",3,"M","YOCL",4,1984,54,"03",1,940,2,121.307906824147
"280","one_YO_fall",3,"M","YOCL",4,1984,54,"18",1,900,1,121.307906824147
"281","one_YO_fall",3,"M","YOCL",4,1985,42,"95",1,750,1,121.307906824147
"282","one_YO_fall",3,"M","YOCL",4,1985,44,"12",1,890,1,121.307906824147
"283","one_YO_fall",3,"M","YOCL",4,1985,45,"32",1,820,1,121.307906824147
"284","one_YO_fall",3,"M","YOCL",4,1985,50,"01",1,835.882352941176,51,121.307906824147
"285","one_YO_fall",3,"M","YOCL",4,1985,50,"21",1,826.703125,128,121.307906824147
"286","one_YO_fall",3,"M","YOCL",4,1985,50,"50",1,795,6,121.307906824147
"287","one_YO_fall",3,"M","YOCL",4,1985,54,"03",1,853.333333333333,6,121.307906824147
"288","one_YO_fall",3,"M","YOCL",4,1985,54,"18",1,850,2,121.307906824147
"289","one_YO_fall",3,"M","YOCL",4,1986,50,"01",1,834.285714285714,21,121.307906824147
"290","one_YO_fall",3,"M","YOCL",4,1986,50,"21",1,813.528571428571,140,121.307906824147
"291","one_YO_fall",3,"M","YOCL",4,1986,50,"50",1,812.5,12,121.307906824147
"292","one_YO_fall",3,"M","YOCL",4,1987,21,"13",1,725,1,121.307906824147
"293","one_YO_fall",3,"M","YOCL",4,1987,44,"12",1,740,1,121.307906824147
"294","one_YO_fall",3,"M","YOCL",4,1987,50,"01",1,892.727272727273,33,121.307906824147
"295","one_YO_fall",3,"M","YOCL",4,1987,50,"21",1,819.945945945946,148,121.307906824147
"296","one_YO_fall",3,"M","YOCL",4,1987,54,"03",1,806.666666666667,6,121.307906824147
"297","one_YO_fall",3,"M","YOCL",4,1988,45,"32",1,802.5,2,121.307906824147
