,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.974E+03,5E+00,-1.6634801E-01,,,
,1.974E+03,6E+00,2.1918141E-01,,,
,1.974E+03,7E+00,3.7670197E-01,,,
,1.974E+03,8E+00,2.6162988E-01,,,
,1.974E+03,9E+00,-1.6775789E-01,,,
,1.974E+03,1E+01,7.4986156E-03,,,
,1.974E+03,1.1E+01,4.270522E-02,,,
,1.974E+03,1.2E+01,7.1586735E-01,,,
,1.975E+03,1E+00,6.3875186E-01,,,
,1.975E+03,2E+00,9.8490837E-01,,,
,1.975E+03,3E+00,7.158461E-01,,,
,1.975E+03,4E+00,6.4921899E-01,,,
,1.975E+03,5E+00,7.1586507E-01,,,
,1.975E+03,6E+00,4.5778814E-01,,,
,1.975E+03,7E+00,5.1100819E-01,,,
,1.975E+03,8E+00,1.0259992E+00,,,
,1.975E+03,9E+00,5.7322177E-01,,,
,1.975E+03,1E+01,9.5649585E-01,,,
,1.975E+03,1.1E+01,1.273857E+00,,,
,1.975E+03,1.2E+01,1.0790459E+00,,,
,1.976E+03,1E+00,1.0782443E+00,,,
,1.976E+03,2E+00,1.1829994E+00,,,
,1.976E+03,3E+00,1.6799048E+00,,,
,1.976E+03,4E+00,2.4363156E+00,,,
,1.976E+03,5E+00,2.1807639E+00,,,
,1.976E+03,6E+00,2.0671275E+00,,,
,1.976E+03,7E+00,2.2670345E+00,,,
,1.976E+03,8E+00,2.4363637E+00,,,
,1.976E+03,9E+00,2.4321414E+00,,,
,1.976E+03,1E+01,1.6933671E+00,,,
,1.976E+03,1.1E+01,1.5746724E+00,,,
,1.976E+03,1.2E+01,1.3296016E+00,,,
,1.977E+03,1E+00,1.3217052E+00,,,
,1.977E+03,2E+00,1.9341241E+00,,,
,1.977E+03,3E+00,1.699481E+00,,,
,1.977E+03,4E+00,1.396454E+00,,,
,1.977E+03,5E+00,1.0719304E+00,,,
,1.977E+03,6E+00,9.2382978E-01,,,
,1.977E+03,7E+00,1.0368123E+00,,,
,1.977E+03,8E+00,1.2847436E+00,,,
,1.977E+03,9E+00,7.6644075E-01,,,
,1.977E+03,1E+01,1.2530538E+00,,,
,1.977E+03,1.1E+01,1.4486669E+00,,,
,1.977E+03,1.2E+01,8.5400226E-01,,,
,1.978E+03,1E+00,1.2148573E+00,,,
,1.978E+03,2E+00,1.2447465E+00,,,
,1.978E+03,3E+00,6.1619694E-01,,,
,1.978E+03,4E+00,4.5326294E-01,,,
,1.978E+03,5E+00,5.867699E-01,,,
,1.978E+03,6E+00,3.8409043E-01,,,
,1.978E+03,7E+00,4.2586012E-01,,,
,1.978E+03,8E+00,8.6398498E-01,,,
,1.978E+03,9E+00,1.2864755E+00,,,
,1.978E+03,1E+01,3.5159373E-01,,,
,1.978E+03,1.1E+01,-2.5888401E-01,,,
,1.978E+03,1.2E+01,-1.1153547E+00,,,
,1.979E+03,1E+00,-5.1478626E-01,,,
,1.979E+03,2E+00,-2.3329146E-01,,,
,1.979E+03,3E+00,-6.2883688E-01,,,
,1.979E+03,4E+00,-1.034361E+00,,,
,1.979E+03,5E+00,-7.8180605E-01,,,
,1.979E+03,6E+00,-8.2272109E-01,,,
,1.979E+03,7E+00,-1.1482481E+00,,,
,1.979E+03,8E+00,-1.2509887E+00,,,
,1.979E+03,9E+00,-7.8481409E-01,,,
,1.979E+03,1E+01,-6.129027E-01,,,
,1.979E+03,1.1E+01,-4.9207198E-01,,,
,1.979E+03,1.2E+01,-5.4143459E-01,,,
,1.98E+03,1E+00,-1.9028722E+00,,,
,1.98E+03,2E+00,-1.7223209E+00,,,
,1.98E+03,3E+00,-1.1510684E+00,,,
,1.98E+03,4E+00,-6.5782108E-02,,,
,1.98E+03,5E+00,-2.1080144E-01,,,
,1.98E+03,6E+00,-6.8274075E-01,,,
,1.98E+03,7E+00,-9.904321E-01,,,
,1.98E+03,8E+00,-1.0831368E+00,,,
,1.98E+03,9E+00,-6.9690748E-01,,,
,1.98E+03,1E+01,-6.6023382E-02,,,
,1.98E+03,1.1E+01,-1.3450486E-01,,,
,1.98E+03,1.2E+01,-2.8269689E-01,,,
,1.981E+03,1E+00,-2.6440728E-01,,,
,1.981E+03,2E+00,-1.0577437E+00,,,
,1.981E+03,3E+00,-6.9053925E-01,,,
,1.981E+03,4E+00,-6.2670428E-01,,,
,1.981E+03,5E+00,1.9965579E-01,,,
,1.981E+03,6E+00,8.8193234E-03,,,
,1.981E+03,7E+00,-5.2605658E-01,,,
,1.981E+03,8E+00,-6.9772961E-01,,,
,1.981E+03,9E+00,2.9768997E-03,,,
,1.981E+03,1E+01,-2.8779399E-01,,,
,1.981E+03,1.1E+01,7.5622012E-01,,,
,1.981E+03,1.2E+01,5.2121581E-01,,,
,1.982E+03,1E+00,-1.9996038E-01,,,
,1.982E+03,2E+00,-8.7346295E-01,,,
,1.982E+03,3E+00,-6.2067405E-01,,,
,1.982E+03,4E+00,-1.0710987E+00,,,
,1.982E+03,5E+00,-9.9310639E-01,,,
,1.982E+03,6E+00,-8.476034E-01,,,
,1.982E+03,7E+00,-6.1058107E-01,,,
,1.982E+03,8E+00,-4.5697363E-01,,,
,1.982E+03,9E+00,-4.5956735E-01,,,
,1.982E+03,1E+01,-1.0067379E+00,,,
,1.982E+03,1.1E+01,-8.6607015E-01,,,
,1.982E+03,1.2E+01,-2.344606E-01,,,
,1.983E+03,1E+00,6.0465531E-01,,,
,1.983E+03,2E+00,4.7395959E-01,,,
,1.983E+03,3E+00,4.3032064E-01,,,
,1.983E+03,4E+00,-7.2051521E-01,,,
,1.983E+03,5E+00,-7.4396599E-01,,,
,1.983E+03,6E+00,-7.6887309E-02,,,
,1.983E+03,7E+00,-4.863779E-02,,,
,1.983E+03,8E+00,-1.0007802E-02,,,
,1.983E+03,9E+00,-4.0973575E-01,,,
,1.983E+03,1E+01,-4.8714715E-01,,,
,1.983E+03,1.1E+01,5.6100833E-01,,,
,1.983E+03,1.2E+01,-6.778232E-01,,,
,1.984E+03,1E+00,-2.1510063E-01,,,
,1.984E+03,2E+00,4.0077926E-01,,,
,1.984E+03,3E+00,7.1907062E-01,,,
,1.984E+03,4E+00,1.1599523E+00,,,
,1.984E+03,5E+00,9.8165596E-01,,,
,1.984E+03,6E+00,7.3748025E-01,,,
,1.984E+03,7E+00,4.158185E-01,,,
,1.984E+03,8E+00,3.6820697E-01,,,
,1.984E+03,9E+00,8.2303277E-01,,,
,1.984E+03,1E+01,9.4333701E-01,,,
,1.984E+03,1.1E+01,8.6247744E-01,,,
,1.984E+03,1.2E+01,2.5228999E-01,,,
,1.985E+03,1E+00,3.2392518E-01,,,
,1.985E+03,2E+00,-6.4661941E-02,,,
,1.985E+03,3E+00,2.3143699E-01,,,
,1.985E+03,4E+00,3.1925946E-01,,,
,1.985E+03,5E+00,1.5633692E-01,,,
,1.985E+03,6E+00,-4.4718164E-02,,,
,1.985E+03,7E+00,1.7832952E-01,,,
,1.985E+03,8E+00,-2.3258976E-01,,,
,1.985E+03,9E+00,-9.3626777E-01,,,
,1.985E+03,1E+01,-1.1832549E+00,,,
,1.985E+03,1.1E+01,-1.793918E+00,,,
,1.985E+03,1.2E+01,-1.6806901E+00,,,
,1.986E+03,1E+00,-7.685944E-01,,,
,1.986E+03,2E+00,-1.4491836E+00,,,
,1.986E+03,3E+00,-4.6623733E-01,,,
,1.986E+03,4E+00,-9.6677631E-01,,,
,1.986E+03,5E+00,-4.9841159E-01,,,
,1.986E+03,6E+00,-6.6585381E-01,,,
,1.986E+03,7E+00,-9.4142243E-01,,,
,1.986E+03,8E+00,-1.0182601E+00,,,
,1.986E+03,9E+00,-7.68198E-01,,,
,1.986E+03,1E+01,-2.937993E-01,,,
,1.986E+03,1.1E+01,-5.0124606E-01,,,
,1.986E+03,1.2E+01,-4.5618453E-01,,,
,1.987E+03,1E+00,6.8659838E-01,,,
,1.987E+03,2E+00,7.675583E-01,,,
,1.987E+03,3E+00,2.8541378E-01,,,
,1.987E+03,4E+00,4.7076848E-01,,,
,1.987E+03,5E+00,2.7433927E-01,,,
,1.987E+03,6E+00,3.9440557E-01,,,
,1.987E+03,7E+00,4.2619958E-01,,,
,1.987E+03,8E+00,3.395003E-01,,,
,1.987E+03,9E+00,1.7022806E-01,,,
,1.987E+03,1E+01,1.2124511E-01,,,
,1.987E+03,1.1E+01,5.2151727E-01,,,
,1.987E+03,1.2E+01,6.9232265E-01,,,
,1.988E+03,1E+00,1.105185E+00,,,
,1.988E+03,2E+00,7.9684971E-01,,,
,1.988E+03,3E+00,9.6814878E-01,,,
,1.988E+03,4E+00,1.5734973E+00,,,
,1.988E+03,5E+00,1.7784138E+00,,,
,1.988E+03,6E+00,1.7426903E+00,,,
,1.988E+03,7E+00,1.7248738E+00,,,
,1.988E+03,8E+00,1.3928516E+00,,,
,1.988E+03,9E+00,1.31624E+00,,,
,1.988E+03,1E+01,1.4868884E+00,,,
,1.988E+03,1.1E+01,1.2427056E+00,,,
,1.988E+03,1.2E+01,7.5529687E-01,,,
,1.989E+03,1E+00,1.3125811E+00,,,
,1.989E+03,2E+00,6.6174412E-01,,,
,1.989E+03,3E+00,9.2933697E-01,,,
,1.989E+03,4E+00,7.8376127E-01,,,
,1.989E+03,5E+00,5.8351058E-01,,,
,1.989E+03,6E+00,5.221062E-01,,,
,1.989E+03,7E+00,1.2640097E+00,,,
,1.989E+03,8E+00,6.6697628E-01,,,
,1.989E+03,9E+00,6.5426137E-01,,,
,1.989E+03,1E+01,4.4178705E-01,,,
,1.989E+03,1.1E+01,-3.0061121E-01,,,
,1.989E+03,1.2E+01,-1.7257603E-01,,,
,1.99E+03,1E+00,2.687734E-01,,,
,1.99E+03,2E+00,-2.8017566E-01,,,
